gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HES4,7.94273762209752,5.57329092321716,0.871720229493434,44.4679349698126,2.58557446413986e-11,1.47196300633927e-09
ISG15,332.338029163205,5.9841705242098,0.357043854546732,218.077021343363,2.37597827509631e-49,1.5420099005375e-46
ENO1,16.1128226440431,-0.939157417443211,0.268497610875375,12.5324888463553,0.000399936737209273,0.00675934745960464
FBXO6,3.88461684221578,1.99064760572295,0.53728829657168,14.7102815304087,0.000125360878168024,0.00254247531034523
TMEM50A,19.3867502793336,1.03878559272432,0.277053414712732,13.9518513668027,0.000187552858306338,0.00353842456513992
IFI6,38.9234366579674,4.94827313233603,0.336704266545667,366.286594596251,1.20428271254582e-81,1.9539487011056e-78
RRAGC,4.74964600224189,1.65792226485951,0.509903295604652,10.6191551599542,0.0011192217067376,0.0165085201743797
GADD45A,2.39020351989553,-2.13857999939248,0.746596583013156,9.12626304760966,0.00251965867763374,0.0320638917996921
NEXN,0.955976494409965,3.20717934999706,0.965177151683226,12.8606579502309,0.00033556259054909,0.00585430433511719
DNAJB4,2.33630981343049,2.60460219177737,0.72631242502917,14.4264316270989,0.000145742310823609,0.00290143434737799
IFI44L,10.6383842239211,6.36374379731597,0.726616812155961,158.734067306181,2.13917369447024e-36,6.94161863855593e-34
IFI44,4.12268579927206,5.01828712156629,0.76330169276704,63.2871340364791,1.7866749741184e-15,1.38041911690814e-13
GNG5,21.1455850351999,0.979933913359753,0.213802205723315,21.2363504118068,4.0599124280778e-06,0.000108879469662086
ODF2L,1.23229625454185,3.49945641294858,0.985561849085409,14.1390510699732,0.000169782348016973,0.00326002200778152
GBP1,15.4065155910373,3.70209521589324,0.502849043091959,56.3738295506139,5.99226386344178e-14,4.22715135584099e-12
GBP2,3.66097743081764,2.28373419634926,0.587780578627646,16.568704264311,4.691892142395e-05,0.00103572721102529
GBP4,6.24711990052893,4.68403439595835,0.73260359332722,53.57683833811,2.48673944677567e-13,1.68113948016397e-11
MCL1,5.32516823652766,2.04861832944237,0.458343507666025,22.2020707507169,2.45408972240322e-06,6.69203457915835e-05
CTSS,14.2175262576395,0.972562218902138,0.285912756459141,12.2463935382419,0.000466158263237394,0.00779733795982136
ADAR,3.60643968919088,2.82475641052872,0.62199051964668,24.2923173071733,8.27685288354638e-07,2.44167160064618e-05
MNDA,6.21116829267152,4.76380750198406,0.727061343813592,61.5503457258999,4.31565865626258e-15,3.25681682315629e-13
IFI16,7.35756497406463,3.51764403530652,0.551350283208062,49.3748053181509,2.11443854369092e-12,1.34536334789746e-10
AIM2,1.08811222803114,2.80146954450961,0.970163684337553,9.89550963408848,0.0016568255986969,0.0231741339128079
SLAMF7,8.26176414755747,1.7642116618312,0.418692461357348,18.0190232753248,2.18708473755376e-05,0.000518035764478974
SELL,3.83264493158564,2.40491786232217,0.62388707926145,16.122458956429,5.93757171891569e-05,0.00127598809456168
RABGAP1L,4.21291381577734,4.04288583798678,0.730495022924325,39.5530968661943,3.19259738372287e-10,1.69835713281651e-08
KIAA0040,1.1934835552763,2.86994779942899,0.900781069579155,12.02388262813,0.000525231761906216,0.0086958013642126
