gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ISG20,444.524813174097,3.61808245203119,0.108882532676923,33.1746501948214,2.49881263482128e-241,1.31537497096992e-237
ISG15,652.364811508744,4.69470880800338,0.161542544831774,28.9730057488538,1.44020056661573e-184,3.79060789133261e-181
IFIT3,188.118993777977,5.45799880586028,0.200701014972104,26.5285883066033,4.5369746850206e-155,7.96087824731614e-152
IFIT1,125.665711800356,5.89525616958431,0.244493118321795,22.6883983541317,5.83230509990148e-114,7.67531351147035e-111
IFIT2,69.2950644724404,4.37742180882788,0.223062074483148,19.1277866269176,1.48235748622058e-81,1.56062596149303e-78
MX1,114.243147092359,4.04618815335476,0.21011497405912,19.0601100322127,5.41608018317132e-81,4.75170768070231e-78
TNFSF10,88.6430334353904,3.23031740327154,0.179362781243004,17.9047881208043,1.08206135262404e-71,8.13710137173279e-69
OAS1,69.5521995549946,4.25725206030964,0.233515316464829,17.8353326681306,3.75806329935618e-71,2.47280565097637e-68
PLSCR1,88.8184341299185,3.70961812970604,0.210479500491913,17.4555205183449,3.12515930949463e-68,1.82787095613108e-65
SAT1,122.112965008545,3.01458491225695,0.1733070855623,17.3375123101281,2.45118420725984e-67,1.29030336670158e-64
IFI6,240.121431877067,5.03308982621082,0.290018217279564,17.1480902109523,6.49522161954753e-66,3.10825878229984e-63
IRF7,87.6087363057404,2.95396372998388,0.181493170063262,16.2043778181299,4.69615794231975e-59,2.0600479506976e-56
SAMD9,51.3432089254954,2.90276139982454,0.178639389022653,16.1196372961918,1.8569593364634e-58,7.51925688241796e-56
RSAD2,44.1016522737441,5.41331806163711,0.332258262546598,14.5308719235214,7.72310860275126e-48,2.90388883463447e-45
HERC5,35.012400256889,4.11477638795965,0.272508441105231,14.5124843390178,1.00995414127983e-47,3.54426573313136e-45
MT2A,63.5304429215787,3.51281483489824,0.239938662184908,14.4759580370843,1.71913601207537e-47,5.65595747972795e-45
TRIM22,36.9069980864541,2.93457209132529,0.200798426215143,14.4459064140709,2.66034294013523e-47,8.23767366874815e-45
DYNLT1,47.8438269213342,2.32077784248364,0.161075912908205,14.344439012502,1.15429874124523e-46,3.37568254106384e-44
EPSTI1,39.0057676692317,3.48178136818126,0.239579936011379,14.2655923198173,3.58534756258917e-46,9.93329977340495e-44
SAMD9L,40.8048110542508,3.06969106918354,0.213572327126432,14.2032009665776,8.75215188245084e-46,2.30356637546106e-43
UBE2L6,79.1692197684174,1.92500186409164,0.135653350167562,14.1675588149305,1.45470072527926e-45,3.64644981803335e-43
PRF1,201.601915755056,2.12193369984775,0.149798543430174,14.1532841300844,1.78235228922523e-45,4.2646829320371e-43
MX2,29.6720401695561,3.59746322038282,0.262483163460766,13.314037784595,1.91827907120229e-40,4.3903569699169e-38
OASL,91.0176712212674,2.02028613745533,0.151744376390489,13.2924883229038,2.55923574927079e-40,5.61325707673393e-38
MYL12A,156.577745616206,1.24681692519764,0.0950479673130105,13.113630125934,2.7510832027337e-39,5.79268079167608e-37
BST2,102.369930685551,2.0651210790243,0.162051509792588,12.7250576000841,4.29158221618364e-37,8.68880337922719e-35
IFI44,28.1412302840633,3.73231150092774,0.284896819494118,12.6640673915065,9.35252239843255e-37,1.82339547797589e-34
NT5C3A,26.0385174272722,3.25735279383941,0.252146942208756,12.606507248651,1.94419903966465e-36,3.65509419456955e-34
CMPK2,25.6798452832451,4.4989386589436,0.330542631869742,12.5581929945107,3.58425181099117e-36,6.50603501139915e-34
PPM1K,30.9074986303426,2.55813190569867,0.205167972229835,12.3522892863729,4.73447228338058e-35,8.30742069990512e-33
EIF2AK2,37.9135118940073,2.90678456785764,0.234562233018476,12.2627230041113,1.43592190546828e-34,2.43828803560807e-32
GBP1,22.589419372494,3.59779217080777,0.290030083027674,11.9489284668097,6.57677183741889e-33,1.04909475612646e-30
IFI35,50.1201478737466,2.85943240521828,0.237487680426828,11.9510690838777,6.40953641053204e-33,1.04909475612646e-30
XAF1,30.0967375508921,2.46095668445466,0.207621234649864,11.7541226458958,6.72556878457797e-32,1.04127629652995e-29
TMSB10,280.947695231274,1.34207114099511,0.114832676542637,11.6841110405185,1.53678988676767e-31,2.31133198969857e-29
IFI16,53.7283675972896,1.62725074746127,0.141031457521952,11.5195955495246,1.05103175108539e-30,1.53684198269819e-28
RNF213,30.8877394925841,2.32713202754801,0.202242818133933,11.4281307840945,3.02551514909046e-30,4.30440857967897e-28
LAP3,28.5817318231283,2.67393430144304,0.233603641395965,11.3194779067875,1.05095947663245e-29,1.45585544341926e-27
CD38,46.3088646540758,2.60890433675263,0.234915339712119,11.0403827802316,2.43991520617612e-28,3.29325990905413e-26
DDX58,25.686516266644,3.06554803486702,0.272957244375793,11.028301472161,2.79086105041091e-28,3.67277314234076e-26
NMI,38.2202664016142,1.93926553493635,0.175889146393829,10.9865327141385,4.43643318502232e-28,5.6959473868189e-26
SP100,46.5920711754302,1.64561582959083,0.153461228549515,10.7025656095999,9.89985355170432e-27,1.24078164514694e-24
IFITM3,91.4493365433524,3.89268967481491,0.363407882313914,10.6099387443876,2.679246646609e-26,3.27989635994181e-24
DRAP1,94.032047359916,1.43721605670131,0.135826470466002,10.5740935969328,3.9295872709548e-26,4.70121531688774e-24
LY6E,199.825430999772,2.90928932959598,0.282197196353258,10.2881415089645,7.96997925006476e-25,9.32310461607575e-23
HLA-E_ENSG00000204592,213.108843692879,0.862128108772645,0.0843613774884295,10.2182836013269,1.6422285873187e-24,1.879280713836e-22
SP110,34.0413093981088,1.90556645385287,0.18729925291122,10.1368413277414,3.79161739305965e-24,4.24661148022681e-22
TYMP,46.0862477909501,2.36417145428289,0.236785041370119,9.93884942106834,2.82066154534426e-23,3.09332549472754e-21
PSMB9_ENSG00000240065,147.736961046449,1.0890211882346,0.109851060458734,9.91079738635418,3.73652007357631e-23,4.01409013618484e-21
PARP14,20.1259239326818,2.60651981009709,0.25993993785414,9.88508309911331,4.83180751312914e-23,5.08692694982236e-21
ODF2L,22.0666176172769,2.1392323354901,0.217713338907983,9.74843247836475,1.87338501128813e-22,1.93362719596484e-20
STAT1,14.2031036512491,3.02573603361981,0.300092671492616,9.74281152394656,1.97999015761476e-22,1.9816819788101e-20
CXCL10,35.1969379175799,6.01117113719013,0.534428932407319,9.74203231900504,1.99523451513935e-22,1.9816819788101e-20
ANXA1,270.737499298711,1.34749484055777,0.139013464294274,9.6905383038495,3.30780609737662e-22,3.22449838825751e-20
TREX1,16.4584493584713,2.80990113026597,0.284418799700661,9.66651383235979,4.18387774549712e-22,4.00435135496306e-20
RBCK1,29.2196852302065,1.7621598886851,0.182486817886733,9.62129671335676,6.50064239583262e-22,6.11060385208266e-20
IFITM2,97.4329929744737,1.42118064610543,0.147788261236201,9.61001880749877,7.25357358938672e-22,6.69873883763714e-20
TMEM123,39.3990771320095,1.51013137488347,0.163715335644269,9.20810471041556,3.31933805658522e-20,3.01258543618355e-18
OAS3,13.4529705591458,4.1313996799349,0.400909671483802,9.1937547249226,3.79363011007386e-20,3.38468964397098e-18
IFIH1,13.7985814822902,2.95051542303108,0.312736486655022,9.1443575425823,5.99853431388467e-20,5.26271410471482e-18
GBP4,20.286743440192,2.03444460712764,0.223068715031133,9.05056132157207,1.42235267203533e-19,1.22742040419573e-17
CARD16,43.9589368608718,1.77233930502323,0.195763483416321,9.03022361387105,1.71321352900708e-19,1.45457355107956e-17
RTP4,17.3332673448617,2.31146051807044,0.25359022113937,9.00281870025526,2.19995457167405e-19,1.83818426433209e-17
DDX60L,13.3922475222439,2.80723034571545,0.324435848555826,8.4182956932183,3.82000633266805e-17,3.14195520861947e-15
TAP1_ENSG00000168394,44.7881857296245,1.2469762848548,0.14847561276626,8.38937096108354,4.88750209311005e-17,3.89815318456535e-15
NUB1,25.1812560131181,1.69280721660285,0.201016700132141,8.38968682824668,4.87438882624015e-17,3.89815318456535e-15
C4orf3,56.5612106865088,1.05712291653788,0.125987128289991,8.38571607427334,5.04178929637601e-17,3.96119087404825e-15
XRN1,21.0519438538096,1.75839773057512,0.209869967802775,8.33575380781919,7.70060003483107e-17,5.96117037990452e-15
PARP9,15.0285888231463,2.32247945430922,0.275501242973405,8.3078218434461,9.74747255639018e-17,7.43633268649824e-15
FBXO6,13.061825178206,2.68046797970269,0.316166344252388,8.26298285554302,1.42076652355864e-16,1.0684164257161e-14
LGALS9,10.3591028076887,3.54216073481408,0.398053175489346,8.25180265688464,1.56022915503501e-16,1.15676708057807e-14
CTSS,29.9003238746594,1.55239200738435,0.188156141955294,8.22973841826196,1.87622706280928e-16,1.37173045258723e-14
B2M,5986.54743689432,0.61766025916735,0.0752852104011856,8.20422729465687,2.320786688808e-16,1.67350974381991e-14
OAS2,13.3135054236201,2.83796353598959,0.338967490634944,8.13389405929161,4.15715879361955e-16,2.95720052562342e-14
CD53,68.6684503093591,1.01576983485285,0.125290216118273,8.10366290870936,5.3328735991889e-16,3.74296621681738e-14
SPATS2L,10.2799631117739,2.96989214205089,0.351457858619055,8.07788889055545,6.58976054362287e-16,4.56427625021458e-14
STOM,17.5812174140062,2.1022909049452,0.25886930682551,8.04748643130189,8.45117370348587e-16,5.77752965911034e-14
IFIT5,11.5257334097625,2.65505357075371,0.321176102239257,8.03466196631002,9.38372473279137e-16,6.33281115300177e-14
IFITM1,18.2727428265809,1.84432025376694,0.230698174136325,7.94275263740735,1.97743048482493e-15,1.3176195027998e-13
C19orf66,23.7748707224759,1.92809903254207,0.241645858441637,7.93368468223094,2.12737818243722e-15,1.39981484404369e-13
FASLG,37.5808102797933,1.17144138144037,0.147520324180133,7.93144741155422,2.1660632079764e-15,1.4076736699738e-13
C5orf56,59.6168107871008,1.43570073755256,0.182124725968257,7.87390327990757,3.43744720087501e-15,2.18008699583205e-13
PSME2,104.836061408681,0.947365570282617,0.120273890807386,7.87497742115689,3.40804398468562e-15,2.18008699583205e-13
TMEM140,14.952166560741,1.98784604484725,0.251315397430643,7.83186807039505,4.80673783745633e-15,3.0122223781393e-13
CCL8,19.8334603225188,4.93597796003734,0.586795516030562,7.77631371201944,7.46684055940579e-15,4.62417043584848e-13
CD48,39.5873701902078,1.81339047669811,0.234813322553783,7.70017719616131,1.35877675748207e-14,8.31697773416934e-13
PSMB8_ENSG00000204264,70.8207488784069,1.02344514657542,0.133113877852937,7.68460550462907,1.53469157452388e-14,9.28576603252152e-13
CASP1,22.41736941373,1.93391286955601,0.250405275984727,7.67961392263532,1.59568757179058e-14,9.54511292943821e-13
TNFSF13B,8.23778928047433,4.43622549066205,0.507365995295284,7.64530218187367,2.08455196481024e-14,1.2329305104226e-12
